"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1928 Amsterdam","Betty Robinson United States","Fanny Rosenfeld Canada","Ethel Smith Canada","100 metres","women","1928","Amsterdam","Running","Betty Robinson ","Fanny Rosenfeld ","Ethel Smith ","United States","Canada","Canada"
"1932 Los Angeles","Stanislawa Walasiewicz Poland","Hilda Strike Canada","Wilhelmina von Bremen United States","100 metres","women","1932","Los Angeles","Running","Stanislawa Walasiewicz ","Hilda Strike ","Wilhelmina von Bremen ","Poland","Canada","United States"
"1936 Berlin","Helen Stephens United States","Stanislawa Walasiewicz Poland","Käthe Krauß Germany","100 metres","women","1936","Berlin","Running","Helen Stephens ","Stanislawa Walasiewicz ","Käthe Krauß ","United States","Poland","Germany"
"1948 London","Fanny Blankers-Koen Netherlands","Dorothy Manley Great Britain","Shirley Strickland Australia","100 metres","women","1948","London","Running","Fanny Blankers-Koen ","Dorothy Manley ","Shirley Strickland ","Netherlands","Great Britain","Australia"
"1952 Helsinki","Marjorie Jackson Australia","Daphne Hasenjager South Africa","Shirley Strickland de la Hunty Australia","100 metres","women","1952","Helsinki","Running","Marjorie Jackson ","Daphne Hasenjager ","Shirley Strickland de la Hunty ","Australia","South Africa","Australia"
"1956 Melbourne","Betty Cuthbert Australia","Christa Stubnick United Team of Germany","Marlene Matthews Australia","100 metres","women","1956","Melbourne","Running","Betty Cuthbert ","Christa Stubnick ","Marlene Matthews ","Australia","United Team of Germany","Australia"
"1960 Rome","Wilma Rudolph United States","Dorothy Hyman Great Britain","Giuseppina Leone Italy","100 metres","women","1960","Rome","Running","Wilma Rudolph ","Dorothy Hyman ","Giuseppina Leone ","United States","Great Britain","Italy"
"1964 Tokyo","Wyomia Tyus United States","Edith McGuire United States","Ewa Klobukowska Poland","100 metres","women","1964","Tokyo","Running","Wyomia Tyus ","Edith McGuire ","Ewa Klobukowska ","United States","United States","Poland"
"1968 Mexico City","Wyomia Tyus United States","Barbara Ferrell United States","Irena Szewinska Poland","100 metres","women","1968","Mexico City","Running","Wyomia Tyus ","Barbara Ferrell ","Irena Szewinska ","United States","United States","Poland"
"1972 Munich","Renate Stecher East Germany","Raelene Boyle Australia","Silvia Chivás Cuba","100 metres","women","1972","Munich","Running","Renate Stecher ","Raelene Boyle ","Silvia Chivás ","East Germany","Australia","Cuba"
"1976 Montreal","Annegret Richter West Germany","Renate Stecher East Germany","Inge Helten West Germany","100 metres","women","1976","Montreal","Running","Annegret Richter ","Renate Stecher ","Inge Helten ","West Germany","East Germany","West Germany"
