"games","gold","silver","bronze","event","gender"
"1896 Athensdetails","Thomas Burke United States","Fritz Hofmann Germany","Francis Lane United States","100 metres","men"
"Alajos Szokolyi Hungary",NA,NA,NA,"100 metres","men"
"1900 Parisdetails","Frank Jarvis United States","Walter Tewksbury United States","Stan Rowley Australia","100 metres","men"
"1904 St. Louisdetails","Archie Hahn United States","Nathaniel Cartmell United States","William Hogenson United States","100 metres","men"
"1908 Londondetails","Reggie Walker South Africa","James Rector United States","Robert Kerr Canada","100 metres","men"
"1912 Stockholmdetails","Ralph Craig United States","Alvah Meyer United States","Donald Lippincott United States","100 metres","men"
"1920 Antwerpdetails","Charley Paddock United States","Morris Kirksey United States","Harry Edward Great Britain","100 metres","men"
"1924 Parisdetails","Harold Abrahams Great Britain","Jackson Scholz United States","Arthur Porritt, Baron Porritt New Zealand","100 metres","men"
"1928 Amsterdamdetails","Percy Williams Canada","Jack London Great Britain","Georg Lammers Germany","100 metres","men"
"1932 Los Angelesdetails","Eddie Tolan United States","Ralph Metcalfe United States","Arthur Jonath Germany","100 metres","men"
"1936 Berlindetails","Jesse Owens United States","Ralph Metcalfe United States","Tinus Osendarp Netherlands","100 metres","men"
"1948 Londondetails","Harrison Dillard United States","Barney Ewell United States","Lloyd LaBeach Panama","100 metres","men"
"1952 Helsinkidetails","Lindy Remigino United States","Herb McKenley Jamaica","McDonald Bailey Great Britain","100 metres","men"
"1956 Melbournedetails","Bobby Morrow United States","Thane Baker United States","Hector Hogan Australia","100 metres","men"
"1960 Romedetails","Armin Hary United Team of Germany","Dave Sime United States","Peter Radford Great Britain","100 metres","men"
"1964 Tokyodetails","Bob Hayes United States","Enrique Figueroa Cuba","Harry Jerome Canada","100 metres","men"
"1968 Mexico Citydetails","Jim Hines United States","Lennox Miller Jamaica","Charles Greene United States","100 metres","men"
"1972 Munichdetails","Valeriy Borzov Soviet Union","Robert Taylor United States","Lennox Miller Jamaica","100 metres","men"
"1976 Montrealdetails","Hasely Crawford Trinidad and Tobago","Don Quarrie Jamaica","Valeriy Borzov Soviet Union","100 metres","men"
"1980 Moscowdetails","Allan Wells Great Britain","Silvio Leonard Cuba","Petar Petrov Bulgaria","100 metres","men"
"1984 Los Angelesdetails","Carl Lewis United States","Sam Graddy United States","Ben Johnson Canada","100 metres","men"
"1988 Seouldetails","Carl Lewis United States","Linford Christie Great Britain","Calvin Smith United States","100 metres","men"
"1992 Barcelonadetails","Linford Christie Great Britain","Frankie Fredericks Namibia","Dennis Mitchell United States","100 metres","men"
"1996 Atlantadetails","Donovan Bailey Canada","Frankie Fredericks Namibia","Ato Boldon Trinidad and Tobago","100 metres","men"
"2000 Sydneydetails","Maurice Greene United States","Ato Boldon Trinidad and Tobago","Obadele Thompson Barbados","100 metres","men"
"2004 Athensdetails","Justin Gatlin United States","Francis Obikwelu Portugal","Maurice Greene United States","100 metres","men"
"2008 Beijingdetails","Usain Bolt Jamaica","Richard Thompson Trinidad and Tobago","Walter Dix United States","100 metres","men"
"2012 Londondetails","Usain Bolt Jamaica","Yohan Blake Jamaica","Justin Gatlin United States","100 metres","men"
"2016 Riodetails","Usain Bolt Jamaica","Justin Gatlin United States","Andre De Grasse Canada","100 metres","men"
"1900 Parisdetails","Walter Tewksbury United States","Norman Pritchard India","Stan Rowley Australia","200 metres","men"
"1904 St. Louisdetails","Archie Hahn United States","Nate Cartmell United States","William Hogenson United States","200 metres","men"
"1908 Londondetails","Robert Kerr Canada","Robert Cloughen United States","Nate Cartmell United States","200 metres","men"
"1912 Stockholmdetails","Ralph Craig United States","Donald Lippincott United States","Willie Applegarth Great Britain","200 metres","men"
"1920 Antwerpdetails","Allen Woodring United States","Charley Paddock United States","Harry Edward Great Britain","200 metres","men"
"1924 Parisdetails","Jackson Scholz United States","Charley Paddock United States","Eric Liddell Great Britain","200 metres","men"
"1928 Amsterdamdetails","Percy Williams Canada","Walter Rangeley Great Britain","Helmut Körnig Germany","200 metres","men"
"1932 Los Angelesdetails","Eddie Tolan United States","George Simpson United States","Ralph Metcalfe United States","200 metres","men"
"1936 Berlindetails","Jesse Owens United States","Mack Robinson United States","Tinus Osendarp Netherlands","200 metres","men"
"1948 Londondetails","Mel Patton United States","Barney Ewell United States","Lloyd LaBeach Panama","200 metres","men"
"1952 Helsinkidetails","Andy Stanfield United States","Thane Baker United States","James Gathers United States","200 metres","men"
"1956 Melbournedetails","Bobby Morrow United States","Andy Stanfield United States","Thane Baker United States","200 metres","men"
"1960 Romedetails","Livio Berruti Italy","Lester Carney United States","Abdoulaye Seye France","200 metres","men"
"1964 Tokyodetails","Henry Carr United States","Paul Drayton United States","Edwin Roberts Trinidad and Tobago","200 metres","men"
"1968 Mexico Citydetails","Tommie Smith United States","Peter Norman Australia","John Carlos United States","200 metres","men"
"1972 Munichdetails","Valeriy Borzov Soviet Union","Larry Black United States","Pietro Mennea Italy","200 metres","men"
"1976 Montrealdetails","Don Quarrie Jamaica","Millard Hampton United States","Dwayne Evans United States","200 metres","men"
"1980 Moscowdetails","Pietro Mennea Italy","Allan Wells Great Britain","Don Quarrie Jamaica","200 metres","men"
"1984 Los Angelesdetails","Carl Lewis United States","Kirk Baptiste United States","Thomas Jefferson United States","200 metres","men"
"1988 Seouldetails","Joe DeLoach United States","Carl Lewis United States","Robson da Silva Brazil","200 metres","men"
"1992 Barcelonadetails","Michael Marsh United States","Frankie Fredericks Namibia","Michael Bates United States","200 metres","men"
"1996 Atlantadetails","Michael Johnson United States","Frankie Fredericks Namibia","Ato Boldon Trinidad and Tobago","200 metres","men"
"2000 Sydneydetails","Konstantinos Kenteris Greece","Darren Campbell Great Britain","Ato Boldon Trinidad and Tobago","200 metres","men"
"2004 Athensdetails","Shawn Crawford United States","Bernard Williams United States","Justin Gatlin United States","200 metres","men"
"2008 Beijingdetails","Usain Bolt Jamaica","Shawn Crawford United States","Walter Dix United States","200 metres","men"
"2012 Londondetails","Usain Bolt Jamaica","Yohan Blake Jamaica","Warren Weir Jamaica","200 metres","men"
"2016 Riodetails","Usain Bolt Jamaica","Andre De Grasse Canada","Christophe Lemaitre France","200 metres","men"
"1896 Athensdetails","Thomas Burke United States","Herbert Jamison United States","Charles Gmelin Great Britain","400 metres","men"
"1900 Parisdetails","Maxie Long United States","William Holland United States","Ernst Schultz Denmark","400 metres","men"
"1904 St. Louisdetails","Harry Hillman United States","Frank Waller United States","Herman Groman United States","400 metres","men"
"1908 Londondetails","Wyndham Halswelle Great Britain","None awarded","None awarded","400 metres","men"
"1912 Stockholmdetails","Charles Reidpath United States","Hanns Braun Germany","Edward Lindberg United States","400 metres","men"
"1920 Antwerpdetails","Bevil Rudd South Africa","Guy Butler Great Britain","Nils Engdahl Sweden","400 metres","men"
"1924 Parisdetails","Eric Liddell Great Britain","Horatio Fitch United States","Guy Butler Great Britain","400 metres","men"
"1928 Amsterdamdetails","Ray Barbuti United States","James Ball Canada","Joachim Büchner Germany","400 metres","men"
"1932 Los Angelesdetails","Bill Carr United States","Ben Eastman United States","Alex Wilson Canada","400 metres","men"
"1936 Berlindetails","Archie Williams United States","Godfrey Brown Great Britain","James LuValle United States","400 metres","men"
"1948 Londondetails","Arthur Wint Jamaica","Herb McKenley Jamaica","Mal Whitfield United States","400 metres","men"
"1952 Helsinkidetails","George Rhoden Jamaica","Herb McKenley Jamaica","Ollie Matson United States","400 metres","men"
"1956 Melbournedetails","Charles Jenkins United States","Karl-Friedrich Haas United Team of Germany","Voitto Hellstén Finland","400 metres","men"
"Ardalion Ignatyev Soviet Union",NA,NA,NA,"400 metres","men"
"1960 Romedetails","Otis Davis United States","Carl Kaufmann United Team of Germany","Malcolm Spence South Africa","400 metres","men"
"1964 Tokyodetails","Mike Larrabee United States","Wendell Mottley Trinidad and Tobago","Andrzej Badenski Poland","400 metres","men"
"1968 Mexico Citydetails","Lee Evans United States","Larry James United States","Ron Freeman United States","400 metres","men"
"1972 Munichdetails","Vincent Matthews United States","Wayne Collett United States","Julius Sang Kenya","400 metres","men"
"1976 Montrealdetails","Alberto Juantorena Cuba","Fred Newhouse United States","Herman Frazier United States","400 metres","men"
"1980 Moscowdetails","Viktor Markin Soviet Union","Rick Mitchell Australia","Frank Schaffer East Germany","400 metres","men"
"1984 Los Angelesdetails","Alonzo Babers United States","Gabriel Tiacoh Ivory Coast","Antonio McKay United States","400 metres","men"
"1988 Seouldetails","Steve Lewis United States","Butch Reynolds United States","Danny Everett United States","400 metres","men"
"1992 Barcelonadetails","Quincy Watts United States","Steve Lewis United States","Samson Kitur Kenya","400 metres","men"
"1996 Atlantadetails","Michael Johnson United States","Roger Black Great Britain","Davis Kamoga Uganda","400 metres","men"
"2000 Sydneydetails","Michael Johnson United States","Alvin Harrison United States","Greg Haughton Jamaica","400 metres","men"
"2004 Athensdetails","Jeremy Wariner United States","Otis Harris United States","Derrick Brew United States","400 metres","men"
