"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1896,1,1,2,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"Triple jump","Jumping","1896 Athens","James Connolly United States","Alexandre Tuffère France","Ioannis Persakis Greece","men","Athens","James Connolly ","Alexandre Tuffère ","Ioannis Persakis ","United States","France","Greece"
1900,2,1,3,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"Standing triple jump","Jumping","1900 Paris","Ray Ewry (USA)","Irving Baxter (USA)","Robert Garrett (USA)","men","Paris","Ray Ewry (USA)","Irving Baxter (USA)","Robert Garrett (USA)",NA,NA,NA
1904,3,1,4,0.0125,"Standing long jump","Jumping","1904 St. Louis","Ray Ewry United States","Charles King United States","John Biller United States","men","St. Louis","Ray Ewry ","Charles King ","John Biller ","United States","United States","United States"
1904,3,362,5,0.0125,"Standing high jump","Jumping","1904 St. Louis","Ray Ewry United States","Joseph Stadler United States","Lawson Robertson United States","men","St. Louis","Ray Ewry ","Joseph Stadler ","Lawson Robertson ","United States","United States","United States"
1908,4,1,5,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"Shot put","Throwing","1908 London","Ralph Rose United States","Denis Horgan Great Britain","John Garrels United States","men","London","Ralph Rose ","Denis Horgan ","John Garrels ","United States","Great Britain","United States"
1912,5,1,6,0.0125,"Pole vault","Jumping","1912 Stockholm","Harry Babcock United States","Frank Nelson United States & Marc Wright United States","William Halpenny Canada & Frank Murphy United States & Bertil Uggla Sweden","men","Stockholm","Harry Babcock ","Frank Nelson  & Marc Wright ","William Halpenny  & Frank Murphy  & Bertil Uggla ","United States","United States","Canada"
1912,5,362,7,0.0125,"Pentathlon","Multisport","1912 Stockholm","Ferdinand Bie Norway & Jim Thorpe United States","James Donahue United States","Frank Lukeman Canada","men","Stockholm","Ferdinand Bie  & Jim Thorpe ","James Donahue ","Frank Lukeman ","Norway","United States","Canada"
1920,6,1,7,0.0125,"Marathon","Running","1920 Antwerp","Hannes Kolehmainen Finland","Jüri Lossmann Estonia","Valerio Arri Italy","men","Antwerp","Hannes Kolehmainen ","Jüri Lossmann ","Valerio Arri ","Finland","Estonia","Italy"
1920,6,362,8,0.0125,"Long jump","Jumping","1920 Antwerp","William Petersson Sweden","Carl Johnson United States","Erik Abrahamsson Sweden","men","Antwerp","William Petersson ","Carl Johnson ","Erik Abrahamsson ","Sweden","United States","Sweden"
1924,7,1,8,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,1,9,0.0125,"Javelin throw","Throwing","1928 Amsterdam","Erik Lundqvist Sweden","Béla Szepes Hungary","Olav Sunde Norway","men","Amsterdam","Erik Lundqvist ","Béla Szepes ","Olav Sunde ","Sweden","Hungary","Norway"
1928,8,362,10,0.0125,"High jump","Jumping","1928 Amsterdam","Ethel Catherwood Canada","Lien Gisolf Netherlands","Mildred Wiley United States","women","Amsterdam","Ethel Catherwood ","Lien Gisolf ","Mildred Wiley ","Canada","Netherlands","United States"
1928,8,362,10,0.0125,"High jump","Jumping","1928 Amsterdam","Bob King United States","Benjamin Hedges United States","Claude Ménard France","men","Amsterdam","Bob King ","Benjamin Hedges ","Claude Ménard ","United States","United States","France"
1932,9,1,10,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"Hammer throw","Throwing","1932 Los Angeles","Pat O'Callaghan Ireland","Ville Pörhölä Finland","Peter Zaremba United States","men","Los Angeles","Pat O'Callaghan ","Ville Pörhölä ","Peter Zaremba ","Ireland","Finland","United States"
1936,10,1,11,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
