"games","gold","silver","bronze","event","gender"
"1928 Amsterdamdetails","Betty Robinson United States","Fanny Rosenfeld Canada","Ethel Smith Canada","100 metres","women"
"1932 Los Angelesdetails","Stanislawa Walasiewicz Poland","Hilda Strike Canada","Wilhelmina von Bremen United States","100 metres","women"
"1936 Berlindetails","Helen Stephens United States","Stanislawa Walasiewicz Poland","Käthe Krauß Germany","100 metres","women"
"1948 Londondetails","Fanny Blankers-Koen Netherlands","Dorothy Manley Great Britain","Shirley Strickland Australia","100 metres","women"
"1952 Helsinkidetails","Marjorie Jackson Australia","Daphne Hasenjager South Africa","Shirley Strickland de la Hunty Australia","100 metres","women"
"1956 Melbournedetails","Betty Cuthbert Australia","Christa Stubnick United Team of Germany","Marlene Matthews Australia","100 metres","women"
"1960 Romedetails","Wilma Rudolph United States","Dorothy Hyman Great Britain","Giuseppina Leone Italy","100 metres","women"
"1964 Tokyodetails","Wyomia Tyus United States","Edith McGuire United States","Ewa Klobukowska Poland","100 metres","women"
"1968 Mexico Citydetails","Wyomia Tyus United States","Barbara Ferrell United States","Irena Szewinska Poland","100 metres","women"
"1972 Munichdetails","Renate Stecher East Germany","Raelene Boyle Australia","Silvia Chivás Cuba","100 metres","women"
"1976 Montrealdetails","Annegret Richter West Germany","Renate Stecher East Germany","Inge Helten West Germany","100 metres","women"
"1980 Moscowdetails","Lyudmila Kondratyeva Soviet Union","Marlies Göhr East Germany","Ingrid Auerswald East Germany","100 metres","women"
"1984 Los Angelesdetails","Evelyn Ashford United States","Alice Brown United States","Merlene Ottey Jamaica","100 metres","women"
"1988 Seouldetails","Florence Griffith-Joyner United States","Evelyn Ashford United States","Heike Drechsler East Germany","100 metres","women"
"1992 Barcelonadetails","Gail Devers United States","Juliet Cuthbert Jamaica","Irina Privalova Unified Team","100 metres","women"
"1996 Atlantadetails","Gail Devers United States","Merlene Ottey Jamaica","Gwen Torrence United States","100 metres","women"
"2000 Sydneydetails","Vacant[1]","Ekaterini Thanou Greece","Merlene Ottey Jamaica","100 metres","women"
"Tayna Lawrence Jamaica",NA,NA,NA,"100 metres","women"
"2004 Athensdetails","Yulia Nestsiarenka Belarus","Lauryn Williams United States","Veronica Campbell Jamaica","100 metres","women"
